Unnamed: 0,Veículo,grid_origem,grid_destino,dia,contagem
1553,323,75736,50738,Thursday,3
1554,323,75736,50738,Thursday,3
1555,323,75736,50738,Thursday,3
1556,340,20542,26204,Tuesday,3
1557,340,20542,26204,Tuesday,3
1558,340,20542,26204,Tuesday,3
1559,340,20542,29711,Monday,2
1560,340,20542,29711,Monday,2
1561,340,21627,39323,Tuesday,2
1562,340,21627,39323,Tuesday,2
1563,340,21628,39319,Thursday,2
1564,340,21628,39319,Thursday,2
1565,340,21628,39319,Wednesday,3
1566,340,21628,39319,Wednesday,3
1567,340,21628,39319,Wednesday,3
1568,340,21628,39323,Monday,4
1569,340,21628,39323,Monday,4
1570,340,21628,39323,Monday,4
