,VehId,tile_ID_x,tile_ID_y,day_x,contagem
5267,346,31690,50385,Sunday,2
5283,346,48705,50385,Sunday,2
5294,346,50386,46245,Sunday,2
5296,346,50386,49923,Saturday,2
5306,346,51592,50385,Sunday,3
5330,347,21285,31284,Tuesday,2
5331,347,21285,39324,Monday,5
5337,347,21285,51163,Tuesday,3
5341,347,21286,39324,Monday,2
5363,347,21655,39324,Tuesday,2
5379,347,25826,39324,Monday,3
5389,347,26961,21655,Tuesday,2
5404,347,29711,20542,Tuesday,2
5410,347,29719,21655,Tuesday,2
5416,347,31284,21655,Monday,2
5435,347,41351,21655,Tuesday,2
5450,347,49923,21655,Tuesday,2
5485,356,52333,75334,Thursday,2
5516,356,66059,75335,Wednesday,2
5537,356,71961,75335,Thursday,2
5549,356,75334,50278,Friday,2
5556,356,75335,50278,Friday,2
5557,356,75335,50278,Thursday,4
5564,356,75335,66449,Thursday,2
5598,359,21627,21628,Saturday,4
5602,359,21627,52389,Sunday,2
5604,359,21628,20908,Monday,2
5623,359,21628,51979,Sunday,2
5627,359,21628,52802,Sunday,2
5631,359,26962,21628,Saturday,3
5638,359,29701,21628,Sunday,2
5641,359,31284,21628,Monday,2
5674,366,20542,74124,Thursday,2
5686,366,48208,73701,Thursday,2
5745,366,69901,51574,Friday,2
5750,366,69901,64044,Thursday,3
5767,366,73701,48209,Thursday,2
5776,366,73701,78354,Thursday,2
5777,366,73701,78354,Tuesday,6
5778,366,73701,78354,Wednesday,4
5796,366,74548,78354,Wednesday,2
5812,366,76227,72432,Tuesday,2
5819,366,76705,73701,Tuesday,2
5822,366,78322,72855,Wednesday,2
5828,366,78354,73701,Tuesday,4
5829,366,78354,73701,Wednesday,11
5830,366,78354,74124,Thursday,2
5832,366,78354,74155,Wednesday,2
5842,367,20542,29317,Monday,3
5857,367,20542,45037,Monday,2
5876,367,26203,20908,Sunday,2
5880,367,26590,20908,Sunday,2
5887,367,26962,20908,Monday,2
5889,367,26962,20908,Tuesday,2
5892,367,27776,20908,Monday,2
5901,367,29360,20542,Saturday,2
5904,367,29701,20542,Monday,2
5905,367,29701,20908,Monday,2
5943,367,36136,20908,Sunday,2
5951,367,39325,20908,Tuesday,2
5954,367,39347,20542,Sunday,2
5987,367,48704,49956,Tuesday,2
6063,371,51163,78354,Monday,2
6064,371,51163,78354,Saturday,3
6065,371,51163,78354,Sunday,2
6066,371,51163,78354,Tuesday,2
6096,371,57358,78354,Monday,2
6099,371,57358,78354,Wednesday,2
6107,371,61891,78354,Friday,2
6119,371,64044,78354,Saturday,2
6154,371,75363,50746,Friday,2
6162,371,75363,51972,Thursday,5
6164,371,75363,51972,Wednesday,2
6166,371,75363,51978,Wednesday,2
6169,371,75363,78354,Saturday,2
6177,371,75364,50739,Wednesday,2
6180,371,75364,50746,Friday,3
6182,371,75364,50746,Tuesday,2
6188,371,75364,51972,Saturday,4
6189,371,75364,51972,Sunday,3
6190,371,75364,51972,Thursday,3
6191,371,75364,51972,Tuesday,2
6192,371,75364,51972,Wednesday,4
6196,371,75364,51978,Wednesday,2
6216,371,76227,78354,Friday,2
6227,371,78322,62308,Wednesday,2
6238,371,78354,44197,Thursday,2
6246,371,78354,45012,Saturday,2
6260,371,78354,49924,Friday,2
6271,371,78354,50746,Tuesday,3
6273,371,78354,51574,Friday,3
6275,371,78354,51574,Tuesday,2
6283,371,78354,62308,Thursday,2
6285,371,78354,64044,Sunday,2
6286,371,78354,64044,Thursday,2
